               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.045552,             0.03829,                   0,             0.84888,             0.97793,             0.94649,             0.45741,            0.041512,            0.029106,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.045758,            0.040449,                   0,             0.78745,             0.93522,             0.90528,             0.44491,            0.043377,            0.029518,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.048094,            0.036685,                   0,             0.78745,             0.93522,             0.90528,             0.44491,            0.043377,            0.029518,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.046197,            0.034632,                   0,             0.96089,              0.9946,             0.99002,             0.48182,             0.04016,            0.028835,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.045245,            0.040953,                   0,             0.85562,             0.95951,             0.94245,             0.43843,            0.043687,            0.029209,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.044797,            0.037234,                   0,             0.85562,             0.95951,             0.94245,             0.43843,            0.043687,            0.029209,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.044356,            0.037448,                   0,             0.97226,             0.99337,             0.98675,             0.48729,            0.039317,            0.028564,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.042593,            0.045646,                   0,              0.8989,             0.97196,             0.96695,              0.4744,            0.040948,            0.029037,                   0,            0.001288,            0.001288,            0.001288
                  90,              0.0428,            0.035873,                   0,              0.8989,             0.97196,             0.96695,              0.4744,            0.040948,            0.029037,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.042572,            0.037638,                   0,             0.94463,             0.96701,             0.97506,             0.47856,            0.039307,            0.028782,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.042216,            0.044917,                   0,             0.97089,              0.9919,             0.99127,             0.51022,            0.038348,            0.028561,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.042538,             0.03991,                   0,             0.97089,              0.9919,             0.99127,             0.51022,            0.038348,            0.028561,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.042794,            0.038849,                   0,             0.96776,              0.9919,             0.99122,             0.50811,             0.03817,            0.028519,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.043444,            0.041788,                   0,             0.95702,              0.9919,             0.98696,             0.49768,             0.03837,            0.028534,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.043072,            0.042893,                   0,             0.95702,              0.9919,             0.98696,             0.49768,             0.03837,            0.028534,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.042088,            0.036469,                   0,             0.96114,             0.98381,             0.98647,             0.50578,            0.037803,              0.0284,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.040548,            0.035956,                   0,             0.96721,             0.98785,             0.98862,             0.51305,            0.037423,            0.028297,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.041133,            0.035683,                   0,             0.96721,             0.98785,             0.98862,             0.51305,            0.037423,            0.028297,                   0,            0.000298,            0.000298,            0.000298
