               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.012061,           0.0036934,          0.00034684,             0.96932,                   1,             0.97556,             0.94293,           0.0043311,           0.0017433,          0.00015993,            0.003268,            0.003268,            0.003268
                  70,            0.011299,            0.003939,          0.00025107,              0.9691,                   1,             0.98056,             0.94571,           0.0045352,           0.0016303,          0.00015759,            0.003169,            0.003169,            0.003169
                  71,            0.010792,            0.003911,          0.00027046,             0.96913,                   1,             0.99194,              0.9494,           0.0044868,           0.0017138,          0.00018597,             0.00307,             0.00307,             0.00307
                  72,           0.0099506,           0.0036904,          0.00026771,             0.96943,                   1,             0.98194,             0.94184,           0.0044278,           0.0017054,          0.00016303,            0.002971,            0.002971,            0.002971
                  73,            0.010642,           0.0037361,          0.00024831,             0.96941,                   1,             0.97556,             0.95024,            0.004255,           0.0015256,          0.00015569,            0.002872,            0.002872,            0.002872
                  74,            0.011057,           0.0036641,          0.00023754,             0.96939,                   1,             0.97222,             0.94688,           0.0043124,           0.0015135,          0.00016184,            0.002773,            0.002773,            0.002773
                  75,            0.010316,           0.0037903,          0.00024349,             0.96933,                   1,             0.97222,              0.9312,            0.005073,           0.0016935,          0.00016294,            0.002674,            0.002674,            0.002674
                  76,            0.011615,           0.0038299,          0.00024545,             0.96945,                   1,             0.97889,             0.93439,           0.0044104,           0.0016196,          0.00015974,            0.002575,            0.002575,            0.002575
                  77,            0.010172,           0.0036379,          0.00023982,             0.96942,                   1,             0.97556,             0.94554,           0.0041083,           0.0015655,          0.00015082,            0.002476,            0.002476,            0.002476
                  78,            0.010053,           0.0037601,           0.0002134,             0.96943,                   1,             0.97222,               0.942,           0.0045308,           0.0017161,          0.00012641,            0.002377,            0.002377,            0.002377
                  79,           0.0099143,           0.0037329,          0.00017574,             0.96932,                   1,             0.96889,             0.94123,           0.0045591,            0.001605,          0.00010695,            0.002278,            0.002278,            0.002278
                  80,           0.0095511,           0.0036168,           0.0001755,             0.96936,                   1,             0.98194,             0.95132,           0.0047257,            0.001745,          0.00011582,            0.002179,            0.002179,            0.002179
                  81,           0.0085283,           0.0033055,          0.00019796,             0.96942,                   1,             0.98528,             0.96095,             0.00405,           0.0015781,          0.00011897,             0.00208,             0.00208,             0.00208
                  82,            0.008442,           0.0033659,          0.00016637,             0.96948,                   1,             0.98694,              0.9659,           0.0039838,           0.0015357,          0.00010457,            0.001981,            0.001981,            0.001981
                  83,           0.0098267,           0.0035697,          0.00016453,             0.96943,                   1,             0.98861,             0.96369,           0.0039776,           0.0015831,          9.8753e-05,            0.001882,            0.001882,            0.001882
                  84,            0.010318,           0.0036224,          0.00017492,             0.96942,                   1,             0.98694,             0.95602,           0.0041153,           0.0015883,          9.9277e-05,            0.001783,            0.001783,            0.001783
                  85,           0.0096622,           0.0035147,          0.00016016,             0.96939,                   1,             0.98861,             0.96191,           0.0039172,           0.0015035,          8.9288e-05,            0.001684,            0.001684,            0.001684
                  86,           0.0086495,           0.0033139,          0.00014581,             0.96943,                   1,             0.99028,             0.96551,           0.0042602,           0.0017545,          8.4114e-05,            0.001585,            0.001585,            0.001585
                  87,           0.0087552,           0.0034218,           0.0001596,             0.96948,                   1,             0.98528,             0.95964,           0.0041653,           0.0016592,          7.6008e-05,            0.001486,            0.001486,            0.001486
                  88,           0.0091069,           0.0033768,          0.00015939,              0.9694,                   1,             0.98528,             0.96627,           0.0041018,           0.0016139,          7.0262e-05,            0.001387,            0.001387,            0.001387
                  89,           0.0079719,           0.0032429,          0.00013414,             0.96944,                   1,             0.98861,              0.9569,           0.0040951,           0.0016403,          6.5756e-05,            0.001288,            0.001288,            0.001288
                  90,           0.0081095,           0.0032477,          0.00011005,             0.96947,                   1,             0.99028,             0.96466,           0.0042212,           0.0015934,          5.9295e-05,            0.001189,            0.001189,            0.001189
                  91,           0.0081215,           0.0032888,          0.00010734,             0.96947,                   1,             0.99361,             0.96114,           0.0040797,           0.0015647,            4.94e-05,             0.00109,             0.00109,             0.00109
                  92,           0.0085744,           0.0034443,          0.00013187,             0.96943,                   1,             0.99361,             0.96792,           0.0039772,           0.0016069,          4.6241e-05,            0.000991,            0.000991,            0.000991
                  93,           0.0081076,           0.0033249,          9.4172e-05,             0.96944,                   1,             0.99361,             0.95802,           0.0039713,           0.0015414,          4.3905e-05,            0.000892,            0.000892,            0.000892
                  94,           0.0076469,           0.0031453,          9.1332e-05,             0.96943,                   1,             0.99361,             0.95591,           0.0041094,           0.0015512,          3.9387e-05,            0.000793,            0.000793,            0.000793
                  95,           0.0074816,           0.0033332,          9.0022e-05,             0.96944,                   1,             0.99361,             0.96048,           0.0040303,           0.0015688,          3.8421e-05,            0.000694,            0.000694,            0.000694
                  96,           0.0078809,           0.0032529,           8.837e-05,             0.96946,                   1,             0.99361,             0.96439,           0.0039767,           0.0015173,          3.6383e-05,            0.000595,            0.000595,            0.000595
                  97,           0.0076146,           0.0032205,          8.3598e-05,             0.96949,                   1,             0.99361,             0.96265,           0.0040321,           0.0015411,           3.469e-05,            0.000496,            0.000496,            0.000496
                  98,            0.008147,           0.0031474,          0.00010672,             0.96946,                   1,             0.99361,             0.96323,           0.0039666,           0.0014822,           3.314e-05,            0.000397,            0.000397,            0.000397
                  99,           0.0075511,           0.0031084,          8.7618e-05,             0.96943,                   1,             0.99361,             0.96264,           0.0039435,           0.0014768,          3.1304e-05,            0.000298,            0.000298,            0.000298
